('北京 Beijing', '北京首都国际机场(Beijing Capital International)', 'PEK', 'ZBAA', '机场三字码：PEK', '机场四字码：ZBAA', 'FAA代码：', '城市：北京（Beijing）', '电话：0086 10 96158', '机场所在地时间：2019-3-30 01:06:32', '机场跑道：12468 英尺', '机场跑道：3790 米')
('上海 Shanghai', '上海浦东国际机场(Shanghai Pudong International)', 'PVG', 'ZSPD', '机场三字码：PVG', '机场四字码：ZSPD', 'FAA代码：', '城市：上海（Shanghai）', '电话：+86 21 62692200', '机场所在地时间：2019-3-30 01:06:33', '机场跑道：12467 英尺', '机场跑道：3790 米')
('上海 Shanghai', '上海虹桥国际机场(Shanghai Hongqiao International)', 'SHA', 'ZSSS', '机场三字码：SHA', '机场四字码：ZSSS', 'FAA代码：', '城市：上海（Shanghai）', '电话：', '机场所在地时间：2019-3-30 01:06:33', '机场跑道：11154 英尺', '机场跑道：3391 米')
('广州 Guangzhou', '广州白云国际机场(Guangzhou Baiyun International)', 'CAN', 'ZGGG', '机场三字码：CAN', '机场四字码：ZGGG', 'FAA代码：', '城市：广州（Guangzhou）', '电话：0086-020-86120000', '机场所在地时间：2019-3-30 01:06:34', '机场跑道：11811 英尺', '机场跑道：3591 米')
('澳门 Macau', '澳门国际机场(Macau International)', 'MFM', 'VMMC', '机场三字码：MFM', '机场四字码：VMMC', 'FAA代码：', '城市：澳门（Macau）', '电话：', '机场所在地时间：2019-3-30 01:06:34', '机场跑道：10544 英尺', '机场跑道：3205 米')
('汕头 Shantou', '揭阳潮汕国际机场(Shantou Waisha)', 'SWA', 'ZGOW', '机场三字码：SWA', '机场四字码：ZGOW', 'FAA代码：', '城市：汕头（Shantou）', '电话：', '机场所在地时间：2019-3-30 01:06:34', '机场跑道： 英尺', '机场跑道：0 米')
('深圳 Shenzhen', "深圳宝安国际机场(Shenzhen Bao'an International)", 'SZX', 'ZGSZ', '机场三字码：SZX', '机场四字码：ZGSZ', 'FAA代码：', '城市：深圳（Shenzhen）', '电话：', '机场所在地时间：2019-3-30 01:06:35', '机场跑道：11155 英尺', '机场跑道：3391 米')
('香港 HongKong', '香港国际机场(Hong Kong International Kai Tak)', 'HKG', 'VHHH', '机场三字码：HKG', '机场四字码：VHHH', 'FAA代码：', '城市：香港（Hong Kong）', '电话：+852 2188 7111', '机场所在地时间：2019-3-30 01:06:35', '机场跑道：11122 英尺', '机场跑道：3381 米')
('长沙 Changsha', '长沙黄花国际机场(Changsha Huanghua International)', 'CSX', 'ZGHA', '机场三字码：CSX', '机场四字码：ZGHA', 'FAA代码：', '城市：长沙（Changsha）', '电话：', '机场所在地时间：2019-3-30 01:06:36', '机场跑道：8530 英尺', '机场跑道：2593 米')
('杭州 Hangzhou', '杭州萧山国际机场(Hangzhou Xiaoshan International)', 'HGH', 'ZSHC', '机场三字码：HGH', '机场四字码：ZSHC', 'FAA代码：', '城市：杭州（Hangzhou）', '电话：', '机场所在地时间：2019-3-30 01:06:36', '机场跑道：11811 英尺', '机场跑道：3591 米')
('重庆 Chongqing', '重庆江北国际机场(Chongqing Jiangbei International)', 'CKG', 'ZUCK', '机场三字码：CKG', '机场四字码：ZUCK', 'FAA代码：', '城市：重庆（Chongqing）', '电话：', '机场所在地时间：2019-3-30 01:06:36', '机场跑道：10499 英尺', '机场跑道：3192 米')
('西安 Xianyang', "西安咸阳国际机场(Xi'an Xianyang International)", 'XIY', 'ZLXY', '机场三字码：XIY', '机场四字码：ZLXY', 'FAA代码：', '城市：西安（Xianyang）', '电话：', '机场所在地时间：2019-3-30 01:06:37', '机场跑道：9842 英尺', '机场跑道：2992 米')
('昆明 Kunming', '昆明长水国际机场(Kunming Wujiaba International)', 'KMG', 'ZPPP', '机场三字码：KMG', '机场四字码：ZPPP', 'FAA代码：', '城市：昆明（Kunming）', '电话：', '机场所在地时间：2019-3-30 01:06:38', '机场跑道：11155 英尺', '机场跑道：3391 米')
('郑州 Zhengzhou', '郑州新郑国际机场(Xinzheng)', 'CGO', 'ZHCC', '机场三字码：CGO', '机场四字码：ZHCC', 'FAA代码：', '城市：郑州（Zhengzhou）', '电话：', '机场所在地时间：2019-3-30 01:06:38', '机场跑道：11155 英尺', '机场跑道：3391 米')
('成都 Chengdu', '成都双流国际机场(Chengdu Shuangliu International)', 'CTU', 'ZUUU', '机场三字码：CTU', '机场四字码：ZUUU', 'FAA代码：', '城市：成都（Chengdu）', '电话：', '机场所在地时间：2019-3-30 01:06:39', '机场跑道：11811 英尺', '机场跑道：3591 米')
('南京 Nanjing', '南京禄口国际机场(Nanjing Lukou)', 'NKG', 'ZSNJ', '机场三字码：NKG', '机场四字码：ZSNJ', 'FAA代码：', '城市：南京（Nanjing）', '电话：', '机场所在地时间：2019-3-30 01:06:39', '机场跑道：11811 英尺', '机场跑道：3591 米')
