Airline_name,ICAO,IATA,Callsign,Country,Website
AB Airlines,AZX,7L,AZTEC AIR,United Kingdom,
Abelag Aviation,AAB,,,Belgium,
ABSA Cargo,TUS,M3,TURISMO,Brazil,http://www.absacargo.com.br
ABX Air,ABX,GB,ABEX,United States,http://www.abxair.com
Access Air,CYD,ZA,CYCLONE,United States,
ACES Colombia,AES,VX,ACES,Colombia,
ACG Air Cargo Global,CCC,CW,GLOBAL CARGO,Slovakia,http://www.acg-air.com/
Acvila Air,RRM,WZ,AIR ROMANIA,Romania,http://www.acvila-air.ro
ADA Colombia,ANQ,,ANTIOQUIA,Colombia,http://www.ada-aero.com/
ADC Airlines,ADK,Z7,ADCO,Nigeria,http://www.adcairlines.com
Adria Airways,ADR,JP,ADRIA,Slovenia,https://www.adria.si/
Advance Air Charters,ADV,,,Canada,
AECA - Aeroservicios Ecuatorianos,EAE,2A,,Ecuador,
Aegean Aviation,AEE,A3,,Greece,
Aeolian Airlines,AOL,,AEOLIAN,Greece,http://www.aeolianairlines.com/
Aer Arann,REA,RE,AER ARANN,Ireland,http://www.aerarann.com
Aer Lingus Regional,EIN,EI,SHAMROCK,Ireland,https://www.aerlingus.com/
Aeral,,HS,SKYTRUCK,Italy,
Aéreo Calafia,CFV,,A_REO CALAFIA,Mexico,http://www.aereocalafia.com.mx
Aermediterranea,BQI,VQ,MEDITERRANEA,Italy,
Aero Airlines,EAY,EE,,Estonia,
Aero Asia International,RSO,E4,AERO ASIA,Pakistan,http://www.aeroasia.com
Aero California,SER,JR,AEROCALIFORNIA,Mexico,http://www.aerocalifornia.com.mx
Aero Chile,,,,Chile,
Aero Continente,ACQ,N6,AERO CONTINENTE,Peru,http://www.aerocontinente.com
Aero Continente Dominicana,CND,9D,,Dominican Republic,
Aero Costa Rica,AEK,,,Costa Rica,
Aero Feliz,,,,Mexico,
Aero Flight,ARF,GV,AERO FOX,Germany,http://www.flyaeroflight.de
Aero León,,,,Mexico,
Aero Malaysiana,,,,Malaysia,
Aero Regional,,,,Ecuador,http://www.aeroregional.com.ec/
