Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-ARF,Andes Líneas Aéreas,7-Jan-11,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N314FV,Finova Capital Corporation (FCC),7-Oct-03,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-CEL,Alanna,Jan-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N936AS,Continental Air Lines,25-Oct-96,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-WRB,Bravo Airways,9-Jul-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N938AS,Continental Air Lines,30-Oct-96,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,UR-CHL,Dart,24-Dec-13,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N597SH,Sky Holding Company,7-Feb-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N990PG,Pegasus Aviation,9 Jun 2010( 4 May 2005),Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N838AM,Aeroméxico Travel,May-08,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N305FA,Falcon Air Express,18-Jun-11,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N938MC,Continental Air Lines,5-Aug-87,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EC-JQV,Swiftair,15-Mar-06,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N316FV,Finova Capital Corporation (FCC),7-Oct-03,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,PJ-MDA,Insel Air,22-Dec-06,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9407R,Aerothrust Holdings,26-May-16,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N884GA,Allegiant Air,9-Oct-07,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N494AP,WFBN Wells Fargo Bank Northwest,3-Dec-01,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YA-KMG,Kam Air,10-Mar-10,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N306FA,Falcon Air Express,28-Dec-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N804WA,World Atlantic Airlines,1 Jul 2012(12 Jun 2012),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N564AA,Delta Material Services,30-Jun-17,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N565AA,American Airlines,11-Jun-87,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N566AA,Frontera Flight Holdings,2-Jan-19,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N568AA,Delta Material Services,4-May-17,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,HI989,PAWA Dominicana,17-Nov-15,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N931TW,Delta Air Lines,23-Apr-14,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N498DN,Delta Air Lines,12-Feb-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N569AA,Delta Material Services,20-Jul-17,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N570AA,Delta Material Services,24-May-17,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N571AA,Delta Material Services,24-May-17,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9303K,American Airlines,2-Dec-01,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N499DN,Delta Air Lines,12-Feb-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,9Q-CKW,Katanga Wings,Dec-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N409NV,Allegiant Air,21-Oct-09,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N948TW,Tristar History and Preservation,22-Sep-14,Preserved
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N862GA,Allegiant Air,22-May-03,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N543PT,Sunrise Asset Management,1-Oct-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,F-GHED,Air Lib,Oct-01,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N874GA,Allegiant Air,6-Feb-06,Stored
