B-25轰炸机撞击帝国大厦事故,1945年7月28日,3,,,
1945年北平C-46坠毁事故,1945年10月12日,4,,,
黑茶山空難,1946年4月8日,0,4,,
黑色圣诞之夜空难,1946年12月25日,3,8,,
泛美航空923号班机空难,1947年10月26日,0,5,,
1947年凱斯楚普機場空難,1947年1月26日,0,6,,
澳門小姐 (飛機),1948年7月16日,1,4,,波音B-29
苏佩尔加空难,2018年12月7日,0,4,,
1949年法国航空星座式客机空难,1949年10月28日,11,,,
扎巴依喀勒山空难,1949年8月27日,,,,
泛美航空151号班机空难,1951年6月22日,0,9,,
英國海外航空781號班機空難,1954年1月10日,21,6,,波音707
南非航空201號班機空難,1954年4月8日,0,7,,波音377
國泰航空空中霸王遭擊落事故,1954年7月23日,,,,波音377
以色列航空402號班機空難,1955年7月27日,0,7,,
克什米尔公主号事件,1955年4月11日,16,8,,
1955年麥克阿瑟機場聯合航空空難,1955年4月4日,0,,,波音767
1956年大峽谷空中相撞事件,1956年6月30日,,,,
泛美航空6號班機事故,2017年4月24日,7,,,波音377
蘇聯民航103號班機空難,1957年8月15日,0,5,,
卡納什空難,2018年11月2日,0,9,,
沧浪号劫机事件,1958年2月16日,3,,,
慕尼黑空难,1958年2月6日,23,6,,
全日空25号班机空难,2010年8月27日,0,3,,
1958年B-47轟炸機空難,2013年9月21日,,,,
汉莎航空502号班机空难,1959年1月11日,3,10,,
音樂死去的那一天,1959年2月3日,1,,,
1960年U-2擊墜事件,1960年5月1日,,,,
全日空25号班机空难,2010年8月27日,0,3,,
1960年紐約撞機事件,1960年12月16日,7,,,
1961年B-52同溫層堡壘轟炸機空難,2013年9月21日,,,,
比利時航空548號班機空難,1961年2月15日,0,11,,波音707-329
智利國家航空210號班機空難,1961年4月3日,24,,,
法國航空117號班機空難,1962年6月22日,0,10,,波音707-328
法国航空007号班机空难,1962年6月3日,,10,2,空中客车A380
美國航空1號班機空難,1962年3月1日,8,,,波音707-123BAccident
美國大陸航空11號班機空難,1962年5月22日,,8,,波音707
蘇聯民航12號班機空難,1963年7月13日,2,8,,
泛美航空214号班机空难,1963年12月8日,0,8,,波音707-121
1963年蘇聯民航圖-124涅瓦河迫降事故,1963年8月21日,0,7,,
环加拿大航空831号班机空难,1963年11月29日,0,7,,波音767-300
阿拉伯聯合航空869號班機空難 (1963年),1963年7月28日,0,8,,
瑞士航空306號班機空難,1963年9月4日,0,6,,
环球航空800号班机空难 (1964年),1964年11月23日,23,11,24,波音707
蘇聯民航721號班機空難,1964年9月2日,87,9,6,
英鷹航空802號班機空難,1964年2月29日,8,,,
民航公司106號班機空難,1964年6月20日,0,5,,
巴基斯坦國際航空705號班機空難,1965年5月20日,6,13,,波音720
泛美航空292號班機空難,1965年9月17日,0,9,,波音707-121B
美軍運輸機墜海事故 (香港),2015年12月12日,12,6,,
英國海外航空911號班機空難,1966年3月5日,0,11,,波音707
大不列顛航空105號班機空難,1966年9月1日,7,,,
全日空60號班機空難,2013年10月17日,0,7,,波音727-100
